"index","station_nm","lon","lat","user","var_n1","var_n2","var_n3","var_n4","var_n5","var_n6","var_n7","var_n8"
1,"가능",127.044251,37.748362,15038,417,301,485,32,110,51,50,7
1,"가락시장",127.118104,37.4923175,32841,312,195,277,107,89,38,69,7
1,"가산디지털단지",126.8825735,37.48089,114668,312,189,263,77,47,47,49,43
1,"가양",126.854244,37.561553,40613,114,90,102,20,56,36,39,0
1,"가좌",126.914841,37.56861,8506,177,127,195,16,51,31,26,9
1,"가천대",127.126635,37.449602,19973,116,119,164,16,24,11,21,6
1,"가평",127.510693,37.814515,5760,23,14,18,0,2,0,4,2
1,"간석",126.693408,37.464689,13494,316,287,426,70,125,62,73,9
1,"갈매",127.1156625,37.6348265,1589,23,15,34,2,2,0,8,0
1,"강남",127.027621,37.497942,199596,641,347,368,110,190,135,177,25
1,"강남구청",127.0411685,37.517473,50015,444,459,445,74,101,97,117,11
1,"강동",127.132187,37.53594,35657,602,398,448,120,130,109,148,55
1,"강동구청",127.120535,37.53051,20862,334,242,267,44,126,75,75,1
1,"강매",126.8454369,37.6125959,4591,43,40,56,13,46,17,22,0
1,"강변",127.094672,37.535144,99851,150,98,127,33,78,24,54,4
1,"강촌",127.63478,37.81829,1685,24,2,7,3,0,1,2,8
1,"개롱",127.1346598,37.4981619,13872,220,200,224,37,115,44,34,1
1,"개봉",126.858504,37.494698,48070,191,157,190,37,103,46,33,8
1,"개포동",127.066502,37.489167,7375,28,24,27,10,35,12,14,0
1,"개화",126.797391,37.578576,10588,7,14,15,0,1,0,1,0
1,"개화산",126.806839,37.572455,11539,212,130,159,44,71,39,35,3
1,"거여",127.143597,37.493422,13629,201,147,183,43,78,56,41,2
1,"건대입구",127.069236,37.540389,131101,662,329,487,157,137,95,106,12
1,"검암",126.6736077,37.5692314,27051,62,38,64,17,37,10,19,0
1,"경마공원",127.007899,37.443987,15744,13,7,35,0,1,0,1,0
1,"경복궁",126.97358,37.575838,52595,451,128,217,26,45,37,38,11
1,"경찰병원",127.12419,37.495694,15054,441,347,450,111,166,72,105,6
1,"계양",126.7363805,37.571594,20632,10,8,10,1,0,1,0,0
1,"고덕",127.15411,37.555051,16860,98,73,86,21,77,32,32,1
1,"고려대",127.035859,37.590401,19798,312,169,289,26,53,47,33,23
1,"고속터미널",127.0049151,37.5049142,195094,101,81,98,26,90,50,39,3
1,"고잔",126.823094,37.316821,18396,136,132,177,32,43,23,52,5
1,"곡산",126.8017,37.645892,1104,5,6,10,0,1,0,0,0
1,"공덕",126.951576,37.54322,68465,370,158,204,43,72,70,61,8
1,"공릉",127.072894,37.625787,26058,301,184,216,58,93,59,30,3
1,"공항시장",126.8086965,37.5623155,6259,309,144,205,46,50,34,36,10
1,"공항화물청사",126.477492,37.459049,5138,0,0,1,0,0,0,0,0
1,"과천",126.996404,37.433205,10110,50,45,75,14,49,19,18,1
1,"관악",126.908476,37.419578,17390,124,74,137,16,44,13,30,2
1,"광나루",127.103606,37.545332,27781,139,79,127,20,56,27,38,3
1,"광명",126.884789,37.416522,1574,26,9,15,0,1,0,7,0
1,"광명사거리",126.8546747,37.4793066,54574,573,353,637,82,153,96,99,58
1,"광운대",127.061817,37.6237325,19920,109,58,90,19,52,17,12,2
1,"광화문",126.976177,37.5696765,76385,417,130,175,36,46,68,46,18
1,"광흥창",126.931855,37.547478,18703,278,202,252,22,85,37,57,9
1,"교대",127.0142285,37.4934705,103608,508,301,263,96,149,99,159,11
1,"구로",126.8820367,37.5031784,44374,240,168,224,51,85,35,52,9
1,"구로디지털단지",126.901472,37.48525,126590,401,256,342,103,81,71,87,26
1,"구룡",127.059496,37.486985,4131,62,46,48,11,57,28,24,1
1,"구리",127.1432928,37.6033064,28494,517,243,381,78,103,77,63,43
1,"구반포",126.987427,37.501431,6715,93,82,101,21,42,29,43,3
1,"구산",126.917879,37.610725,14307,423,306,426,47,144,79,54,5
1,"구성",127.105664,37.299013,10198,54,56,85,9,31,15,20,2
1,"구의",127.0852645,37.5368933,47887,495,340,504,136,157,73,133,12
1,"구일",126.869599,37.496273,14467,85,48,68,22,44,16,11,1
1,"구파발",126.918833,37.636581,33241,31,20,29,0,22,10,6,0
1,"국수",127.399501,37.516196,1810,33,10,14,1,3,1,12,1
1,"국회의사당",126.917853,37.528128,30638,78,51,54,9,13,13,20,5
1,"군자",127.079589,37.5573355,48921,534,480,718,128,153,91,157,18
1,"군포",126.948517,37.353732,14447,227,200,338,58,46,41,74,17
1,"굴봉산",127.557732,37.832086,567,2,0,1,0,0,0,1,0
1,"굴포천",126.725813,37.508231,17868,328,223,353,55,92,49,86,4
1,"굽은다리",127.142906,37.545539,19459,393,394,421,90,181,91,108,3
1,"금곡",127.207931,37.637414,2952,126,79,155,14,34,27,27,3
1,"금릉",126.765664,37.751265,9680,39,41,42,17,56,17,20,0
1,"금정",126.9434895,37.372237,57582,401,235,428,72,82,51,62,32
1,"금천구청",126.894003,37.455645,22474,182,122,204,48,72,44,33,14
1,"금촌",126.774515,37.766106,14431,305,236,416,66,74,46,43,26
1,"금호",127.015789,37.54826,15217,288,198,317,37,80,66,58,11
1,"기흥",127.115944,37.275657,28458,194,139,172,63,75,28,49,5
1,"길동",127.139992,37.537769,15499,607,495,586,131,193,125,174,37
1,"길음",127.024914,37.603185,55486,233,202,279,47,120,75,54,19
1,"김유정",127.714302,37.818475,1217,32,4,11,0,0,1,0,0
1,"김포공항",126.8019274,37.5618288,50499,65,36,56,9,4,3,13,5
1,"까치산",126.8467055,37.5317675,58303,331,247,319,57,101,51,75,62
1,"까치울",126.8113591,37.5062327,12263,60,22,45,3,13,3,6,0
1,"낙성대",126.963418,37.477117,60926,358,260,399,62,120,76,96,4
1,"남구로",126.887272,37.486087,33229,583,336,527,108,103,83,79,70
1,"남동인더스파크",126.695235,37.407772,4064,42,32,88,3,4,6,21,1
1,"남부터미널",127.016274,37.48491,73178,350,251,322,78,86,52,114,25
1,"남성",126.970673,37.484876,22370,242,207,322,27,100,53,53,2
1,"남영",126.971171,37.540597,24540,442,234,345,56,56,39,58,20
1,"남춘천",127.723761,37.864071,6738,441,216,306,54,101,32,53,26
1,"남태령",126.989097,37.464237,2707,8,9,15,0,3,0,3,0
1,"남한산성입구",127.159821,37.451541,27921,323,273,418,56,123,56,66,9
1,"내방",126.993598,37.487707,28332,414,508,566,81,181,91,220,14
1,"노들",126.952213,37.513416,9092,129,43,97,19,101,18,23,3
1,"노량진",126.94167,37.514072,92767,278,83,184,43,166,36,36,11
1,"노원",127.060551,37.654527,94445,245,141,167,85,113,85,35,15
1,"녹번",126.935761,37.600869,25700,110,92,150,7,52,27,23,5
1,"녹사평",126.9853515,37.534945,15382,351,89,253,17,23,22,32,9
1,"녹양",127.042272,37.759416,9813,90,50,141,13,33,16,15,2
1,"녹천",127.051406,37.644599,9548,19,20,34,2,32,6,12,0
1,"논현",127.021728,37.511206,40477,635,507,478,154,128,132,144,13
1,"능곡",126.820845,37.618741,7342,164,132,211,23,50,25,41,14
1,"단대오거리",127.156709,37.44505,24491,457,310,477,97,114,82,60,93
1,"달월",126.745431,37.379993,194,2,0,6,0,0,0,0,0
1,"답십리",127.052382,37.567072,31125,335,222,422,45,65,63,48,16
1,"당고개",127.079011,37.67026,26691,146,96,184,22,34,27,13,9
1,"당산",126.9019901,37.5340278,80041,283,168,213,49,85,52,67,17
1,"당정",126.948388,37.34338,14855,91,72,94,17,50,23,22,0
1,"대곡",126.8102965,37.631957,2704,9,1,9,0,2,0,3,0
1,"대공원",127.006474,37.435724,13018,13,4,15,0,6,1,1,0
1,"대림",126.899438,37.4955091,86960,451,256,396,81,89,62,49,4
1,"대모산입구",127.072702,37.491347,7167,34,34,40,13,42,18,21,0
1,"대방",126.926392,37.512537,31578,157,112,139,31,85,28,37,10
1,"대성리",127.376729,37.6805595,2180,24,3,23,0,0,0,3,12
1,"대야미",126.91716,37.328304,7832,41,26,47,3,12,2,4,1
1,"대청",127.079526,37.493601,19523,117,76,106,35,47,23,22,0
1,"대치",127.063446,37.494569,24050,127,91,121,27,156,60,30,0
1,"대화",126.7477558,37.6758831,27004,268,125,168,43,63,41,44,12
1,"대흥",126.942332,37.547674,17280,310,174,224,26,101,33,49,5
1,"덕계",127.056676,37.81876,4254,12,8,17,0,13,0,2,0
1,"덕소",127.208547,37.587199,13159,160,103,165,20,55,44,36,4
1,"덕정",127.061511,37.843216,14198,147,88,123,18,23,20,17,3
1,"도곡",127.0556945,37.49106,26982,60,60,63,16,55,44,34,0
1,"도농",127.161105,37.608756,17378,109,100,131,13,76,33,38,1
1,"도림천",126.882624,37.51446,2198,101,67,90,10,48,14,22,1
1,"도봉",127.045521,37.679441,13086,157,74,111,24,23,26,19,5
1,"도봉산",127.0461945,37.689596,33777,104,29,69,13,11,11,3,2
1,"도심",127.222798,37.579628,4926,65,44,72,8,42,11,21,2
1,"도원",126.642824,37.468604,8400,355,282,451,46,46,32,35,39
1,"도화",126.6684603,37.4661538,7363,170,166,267,28,39,17,51,13
1,"독립문",126.957918,37.574453,15923,153,79,144,14,45,44,27,14
1,"독바위",126.933037,37.618387,6095,105,71,129,8,43,17,26,0
1,"독산",126.8895083,37.4659942,32469,84,92,121,12,39,8,24,6
1,"돌곶이",127.056403,37.610493,18637,434,276,489,34,70,75,31,24
1,"동대문",127.0087664,37.5709391,87016,640,228,714,69,62,130,88,64
1,"동대문역사문화공원",127.007765,37.565102,92371,667,389,850,79,66,77,111,68
1,"동대입구",127.005316,37.558126,25108,403,316,459,58,62,91,69,23
1,"동두천",127.054992,37.926664,5208,33,18,22,0,7,1,3,2
1,"동두천중앙",127.056409,37.901673,7924,385,214,454,31,38,63,37,25
1,"동묘앞",127.016008,37.572729,38869,511,243,690,67,83,73,96,58
1,"동암",126.702884,37.470869,47471,462,371,505,102,75,60,91,33
1,"동인천",126.632598,37.475414,37552,555,264,699,71,90,82,39,55
1,"동작",126.9790995,37.503062,9365,15,14,18,4,4,5,3,0
1,"두정",127.148905,36.833791,13295,127,106,146,16,66,22,64,6
1,"둔촌동",127.136231,37.527657,26148,412,320,380,76,161,62,112,6
1,"등촌",126.8645185,37.551303,20616,289,212,240,49,121,64,80,1
1,"디지털미디어시티",126.9004205,37.5779636,56552,284,109,118,20,34,26,25,3
1,"뚝섬",127.04731,37.54724,33021,303,177,215,34,62,33,51,7
1,"뚝섬유원지",127.066691,37.531537,19063,218,194,289,40,101,46,76,2
1,"마곡",126.826919,37.5619185,7268,8,6,4,0,10,3,5,0
1,"마곡나루",126.8271565,37.566876,4792,22,25,22,2,20,3,8,0
1,"마두",126.777641,37.652185,17230,114,100,110,35,73,58,45,3
1,"마들",127.057614,37.665375,23577,54,38,46,14,93,23,18,0
1,"마석",127.31168,37.652797,7513,155,91,144,24,24,40,19,5
1,"마장",127.042965,37.566127,12498,237,126,257,16,36,31,39,16
1,"마천",127.15279,37.49502,11044,249,168,225,43,59,56,47,2
1,"마포",126.94604,37.539705,29696,327,138,162,52,80,56,60,6
1,"마포구청",126.903472,37.563418,25794,215,185,239,31,85,34,40,1
1,"망우",127.092882,37.598603,16756,428,241,352,70,94,63,52,47
1,"망원",126.9012821,37.5559772,26198,360,211,267,36,68,53,44,1
1,"망월사",127.04736,37.710499,17696,147,86,175,26,61,15,29,3
1,"망포",127.0573667,37.2457927,23206,127,82,129,30,87,24,33,1
1,"매교",127.015657,37.265502,5417,273,356,494,42,72,47,87,23
1,"매봉",127.046918,37.487035,22877,214,163,218,37,62,42,73,1
1,"매탄권선",127.040459,37.252951,8388,159,146,187,21,94,26,36,0
1,"먹골",127.077707,37.61078,20901,305,227,316,50,86,60,49,6
1,"면목",127.087494,37.588745,31661,457,361,511,74,92,68,64,16
1,"명동",126.9861868,37.5609892,86705,791,436,589,72,48,101,82,107
1,"명일",127.144014,37.55131,16672,257,212,217,55,122,70,54,2
1,"명학",126.9305068,37.3900837,20798,331,243,338,62,75,46,85,60
1,"모란",127.129064,37.432124,56293,412,328,496,117,105,56,113,41
1,"목동",126.864301,37.526072,38198,374,238,354,72,170,71,60,4
1,"몽촌토성",127.11274,37.517641,13416,235,93,119,59,47,36,43,56
1,"무악재",126.950134,37.582634,8495,77,56,59,8,35,24,14,1
1,"문래",126.8993953,37.5169837,37794,446,225,441,69,81,95,57,39
1,"문산",126.7875312,37.8545648,12818,234,119,221,33,55,41,36,23
1,"문정",127.1238462,37.4851331,15248,274,204,287,47,103,37,81,0
1,"미금",127.108952,37.350078,41005,176,107,127,48,77,35,45,1
1,"미아",127.026132,37.626394,37443,321,176,252,43,58,64,20,17
1,"미아사거리",127.030084,37.613251,66218,457,268,453,44,107,84,48,30
1,"반월",126.903684,37.312244,10060,46,26,45,5,24,8,14,1
1,"반포",127.011847,37.508213,12692,110,121,125,19,78,41,43,2
1,"발산",126.837595,37.558683,24011,174,91,107,30,74,33,38,2
1,"방배",126.997638,37.481512,42248,264,268,310,58,138,75,134,6
1,"방이",127.12596,37.508559,14361,261,148,170,42,158,51,42,0
1,"방학",127.044295,37.66747,20358,322,184,283,46,56,44,39,2
1,"방화",126.812826,37.577622,14736,157,96,109,38,62,37,27,3
1,"배방",127.052751,36.77754,2000,70,23,58,12,20,16,17,4
1,"백마",126.7944,37.658346,12800,99,80,159,16,72,26,29,1
1,"백석",126.788109,37.642973,22361,378,186,230,79,62,40,63,11
1,"백양리",127.6124,37.827688,432,5,1,6,0,0,0,0,8
1,"백운",126.707179,37.483301,18427,145,122,166,27,48,26,26,2
1,"버티고개",127.0071227,37.5478919,4867,96,101,127,14,35,25,24,3
1,"범계",126.950627,37.389854,61528,175,155,199,57,129,66,87,6
1,"별내",127.127208,37.64222,4654,53,18,23,7,6,9,7,2
1,"병점",127.033268,37.206821,31766,134,128,145,29,56,43,51,8
1,"보라매",126.920282,37.499929,19212,270,190,233,34,103,48,37,6
1,"보문",127.019391,37.585331,16265,416,241,366,39,83,53,67,11
1,"보산",127.057134,37.914268,3802,213,115,226,17,19,20,11,14
1,"보정",127.108219,37.31274,5162,22,38,59,2,18,7,10,0
1,"복정",127.126685,37.470375,16797,38,37,64,3,3,7,17,0
1,"봉명",127.136319,36.801578,2765,340,267,450,67,69,49,49,5
1,"봉은사",127.060266,37.514221,23299,264,132,134,25,26,49,54,3
1,"봉천",126.941574,37.482476,45484,431,369,508,67,144,87,122,4
1,"봉화산",127.0910404,37.6171418,18086,22,21,28,3,35,11,11,0
1,"부개",126.740549,37.488479,20777,366,319,417,47,88,49,59,5
1,"부천",126.7827787,37.4840664,84554,783,414,740,164,126,121,98,147
1,"부천시청",126.763602,37.504669,25070,150,93,125,63,69,57,64,6
1,"부천종합운동장",126.797498,37.505452,10606,34,27,54,4,4,0,1,0
1,"부평",126.7236421,37.4903861,82857,705,412,732,159,133,151,114,137
1,"부평구청",126.72091,37.508073,21324,247,169,266,50,82,37,60,6
1,"불광",126.9298435,37.6105025,52808,332,157,270,40,75,71,46,30
1,"사가정",127.088503,37.580966,31948,415,267,417,60,99,42,30,10
1,"사당",126.981633,37.476559,149861,448,290,371,83,124,64,112,15
1,"사릉",127.176839,37.651145,6985,80,47,84,9,11,14,12,3
1,"사평",127.014759,37.504448,5337,167,149,156,32,95,41,55,1
1,"산본",126.932969,37.358019,38403,126,123,144,54,136,77,66,12
1,"산성",127.150057,37.456639,14593,104,109,155,14,40,18,20,0
1,"삼각지",126.9734515,37.5350315,24719,218,119,172,22,24,16,52,8
1,"삼산체육관",126.742024,37.506483,10585,82,59,87,23,55,25,26,3
1,"삼성",127.063149,37.508861,114226,363,138,161,38,56,60,70,5
1,"삼성중앙",127.0528466,37.5127824,9128,356,199,201,38,47,55,92,9
1,"삼송",126.895559,37.653096,25735,95,41,78,3,16,11,37,1
1,"상갈",127.108718,37.261797,10195,55,43,71,7,29,5,16,2
1,"상계",127.0730618,37.6748028,42303,10,10,29,2,2,1,0,0
1,"상도",126.947753,37.503072,22285,258,167,219,21,129,60,61,5
1,"상동",126.753147,37.505802,28458,175,153,187,65,90,53,81,11
1,"상록수",126.8665333,37.3028447,42674,186,183,270,81,63,45,75,12
1,"상봉",127.0858527,37.5952536,45741,377,254,361,70,78,56,50,48
1,"상수",126.9244174,37.5454728,23849,527,197,244,40,57,33,43,6
1,"상왕십리",127.028872,37.5645,21090,382,226,360,55,94,76,75,43
1,"상월곡",127.048862,37.6066,12253,189,116,195,16,47,23,14,3
1,"상일동",127.169184,37.5570545,20085,55,32,40,9,24,9,12,0
1,"상천",127.4542002,37.770405,960,8,1,8,1,0,0,1,1
1,"새절",126.913582,37.591014,27033,391,214,298,47,96,72,31,12
1,"샛강",126.928873,37.516737,10402,128,94,122,33,58,41,43,7
1,"서강대",126.935389,37.552132,4519,687,280,402,87,164,93,79,90
1,"서대문",126.96665,37.56577,34990,459,197,274,41,68,75,63,12
1,"서동탄",127.051893,37.195675,3105,52,37,82,4,26,10,21,0
1,"서빙고",126.988358,37.51961,4576,17,26,44,3,5,7,14,1
1,"서울",126.9696195,37.5536067,175689,390,208,378,43,72,74,62,47
1,"서울대입구",126.952712,37.48121,104566,624,404,561,98,156,110,141,36
1,"서울숲",127.0445665,37.5431275,12749,240,113,154,25,61,25,53,5
1,"서정리",127.053294,37.057003,10625,189,147,219,22,38,31,53,15
1,"서초",127.007688,37.49184,45508,383,227,192,71,83,58,108,5
1,"서현",127.123249,37.384931,53658,126,86,117,40,64,65,52,13
1,"석계",127.0657675,37.6150815,50411,256,136,254,44,66,45,14,4
1,"석수",126.902233,37.435161,22376,51,63,87,10,36,11,15,0
1,"석촌",127.106981,37.505438,18499,417,254,284,88,168,95,95,2
1,"선릉",127.048941,37.504479,126094,598,458,512,150,248,133,285,33
